4 var
    0.685	    0.000	    2.246	    0.039	    0.042	    3.229
    0.681	    0.000	    2.166	    0.038	    0.042	    3.099
    0.687	    0.000	    2.222	    0.041	    0.042	    3.224
    1.227	    0.000	    2.641	    0.040	    0.046	    4.123
    1.230	    0.000	    2.597	    0.040	    0.046	    4.160
    1.231	    0.000	    2.695	    0.041	    0.046	    4.217
    2.102	    0.000	    2.722	    0.086	    0.049	    5.197
    1.229	    0.000	    2.582	    0.038	    0.046	    4.116
    1.227	    0.000	    2.630	    0.041	    0.046	    4.155
    1.225	    0.000	    2.643	    0.042	    0.047	    4.195
    1.224	    0.000	    2.510	    0.041	    0.046	    3.999
    1.225	    0.000	    2.536	    0.040	    0.046	    4.185
    1.236	    0.000	    2.535	    0.042	    0.046	    4.079
    1.873	    0.000	    3.546	    0.040	    0.060	    5.692
    3.218	    0.000	    3.874	    0.110	    0.061	    7.519
    1.851	    0.000	    3.552	    0.063	    0.063	    5.754
    1.791	    0.000	    5.149	    0.037	    0.060	    7.369
    1.860	    0.000	    3.578	    0.038	    0.060	    5.709
    3.230	    0.000	    3.782	    0.109	    0.063	    7.437
    1.787	    0.000	    3.790	    0.037	    0.060	    5.905
    1.860	    0.000	    3.557	    0.039	    0.060	    5.752
    1.828	    0.000	    3.694	    0.064	    0.063	    5.882
    3.187	    0.000	    3.618	    0.087	    0.063	    7.188
    1.312	    0.000	    2.909	    0.037	    0.049	    4.469
    1.386	    0.000	    2.738	    0.038	    0.048	    4.458
    1.402	    0.000	    2.686	    0.039	    0.049	    4.386
    1.390	    0.000	    2.767	    0.038	    0.049	    4.402
    1.319	    0.000	    3.378	    0.036	    0.049	    5.001
    1.313	    0.000	    3.440	    0.037	    0.048	    5.000
    1.315	    0.000	    3.291	    0.037	    0.048	    4.908
    1.317	    0.000	    3.353	    0.036	    0.049	    4.927
    1.316	    0.000	    3.318	    0.037	    0.049	    4.924
    1.318	    0.000	    3.466	    0.036	    0.048	    5.103
    1.712	    0.000	   21.818	    0.037	    0.056	   23.810
    1.708	    0.000	    4.477	    0.035	    0.056	    6.499
    1.828	    0.000	   26.050	    0.061	    0.055	   28.240
    1.707	    0.000	    4.094	    0.037	    0.056	    6.113
    1.707	    0.000	    4.283	    0.036	    0.056	    6.303
    1.828	    0.000	    3.556	    0.041	    0.056	    5.707
    1.707	    0.000	    4.331	    0.037	    0.056	    6.311
    1.827	    0.000	    3.634	    0.041	    0.056	    5.736
    1.751	    0.000	    3.677	    0.039	    0.056	    5.752
    2.497	    0.000	    3.537	    0.080	    0.057	    6.353
2 var
    0.022	    0.000	    0.512	    0.026	    0.040	    0.765
    0.022	    0.000	    0.563	    0.025	    0.040	    1.135
    0.022	    0.000	    0.444	    0.025	    0.040	    0.691
    0.023	    0.000	    0.511	    0.026	    0.040	    0.758
    0.025	    0.000	    0.594	    0.027	    0.040	    0.848
    0.024	    0.000	    0.575	    0.027	    0.040	    0.826
    0.025	    0.000	    0.540	    0.027	    0.040	    0.784
    0.025	    0.000	    0.521	    0.027	    0.040	    0.780
    0.025	    0.000	    0.507	    0.027	    0.040	    0.755
    0.025	    0.000	    0.532	    0.027	    0.040	    0.780
    0.161	    0.000	    1.322	    0.027	    0.041	    1.713
    0.157	    0.000	    0.945	    0.024	    0.041	    1.327
    0.160	    0.000	    0.910	    0.026	    0.041	    1.308
    0.160	    0.000	    0.906	    0.026	    0.041	    1.306
    0.160	    0.000	    0.883	    0.026	    0.041	    1.271
    0.160	    0.000	    0.926	    0.027	    0.041	    1.318
    0.160	    0.000	    0.869	    0.026	    0.041	    1.248
    0.160	    0.000	    0.867	    0.026	    0.041	    1.264
    0.160	    0.000	    0.861	    0.026	    0.041	    1.237
    0.158	    0.000	    0.928	    0.026	    0.041	    1.319
    0.253	    0.000	    1.405	    0.024	    0.044	    1.894
    0.253	    0.000	    1.091	    0.024	    0.044	    1.569
    0.261	    0.000	    1.094	    0.026	    0.044	    1.578
    0.261	    0.000	    1.137	    0.026	    0.044	    1.625
    0.260	    0.000	    1.157	    0.026	    0.044	    1.649
    0.260	    0.000	    1.108	    0.027	    0.044	    1.590
    0.257	    0.000	    1.138	    0.028	    0.044	    1.621
    0.254	    0.000	    1.131	    0.025	    0.044	    1.617
    0.253	    0.000	    1.120	    0.025	    0.044	    1.597
    0.261	    0.000	    1.132	    0.028	    0.044	    1.629
    0.455	    0.000	    1.554	    0.028	    0.045	    2.252
    0.535	    0.000	    1.631	    0.051	    0.047	    2.423
    0.455	    0.000	    1.495	    0.027	    0.045	    2.176
    0.441	    0.000	    1.503	    0.026	    0.045	    2.178
    0.457	    0.000	    1.643	    0.027	    0.045	    2.333
    0.456	    0.000	    1.488	    0.027	    0.045	    2.179
    0.455	    0.000	    1.483	    0.028	    0.045	    2.186
    0.455	    0.000	    1.519	    0.027	    0.045	    2.197
    0.447	    0.000	    1.534	    0.026	    0.045	    2.218
    0.439	    0.000	    1.505	    0.024	    0.045	    2.173
    1.055	    0.000	    1.970	    0.027	    0.063	    3.277
    0.995	    0.000	    1.895	    0.026	    0.061	    3.137
    1.056	    0.000	    1.826	    0.027	    0.061	    3.133
    2.117	    0.000	    2.133	    0.050	    0.064	    4.525
    0.972	    0.000	    1.858	    0.024	    0.063	    3.079
    1.053	    0.000	    1.941	    0.027	    0.063	    3.243
    1.002	    0.000	    2.009	    0.027	    0.063	    3.263
    2.070	    0.000	    1.904	    0.051	    0.065	    4.254
    1.562	    0.000	    4.558	    0.043	    0.064	    6.471
    1.057	    0.000	    2.051	    0.026	    0.063	    3.380
